x,z
-9999,-9663
-9999,-6229
-9999,-4680
-9999,-2727
-9999,-2723
-9999,-942
-9999,1253
-9999,2111
-9998,-9664
-9998,1258
-9998,1266
-9998,8190
-9997,-3006
-9997,-2716
-9997,138
-9997,149
-9997,2081
-9996,-9641
-9996,-5766
-9996,-2714
-9996,-1391
-9996,-1361
-9996,133
-9995,-6152
-9995,-5296
-9995,-5240
-9995,156
-9995,2112
-9995,8352
-9995,8353
-9994,-6229
-9994,158
-9994,7300
-9993,-2966
-9993,-2710
-9993,160
-9993,7301
-9992,-5782
-9992,-5296
-9992,162
-9992,4231
-9992,4234
-9991,-2708
-9991,-1396
-9991,-764
-9991,124
-9991,4239
-9991,8214
-9990,-6228
-9990,-2737
-9990,4038
-9990,4040
-9990,8186
-9989,-9634
-9989,166
-9989,8344
-9989,8366
-9988,-6227
-9988,-5787
-9988,-2737
-9988,121
-9987,-5788
-9987,-3967
-9987,-3961
-9987,-815
-9987,-764
-9987,7310
-9987,7360
-9986,-3956
-9986,4048
-9986,8209
-9985,-6142
-9985,2115
-9985,8343
-9984,-9667
-9984,-355
-9984,-354
-9984,4050
-9984,4252
-9984,7840
-9983,-8556
-9983,-8551
-9983,-5291
-9983,-350
-9983,7360
-9983,8372
-9982,-5792
-9982,-4641
-9982,-815
-9982,173
-9982,4022
-9982,8187
-9981,-9666
-9981,-6222
-9981,-5760
-9981,-3946
-9981,-2966
-9981,2082
-9981,4255
-9981,5643
-9981,7322
-9981,7854
-9981,8188
-9981,8343
-9980,-3985
-9980,-2555
-9980,-2550
-9980,7855
-9979,-9665
-9979,-9629
-9979,-8543
-9979,-3944
-9979,-3013
-9979,-1403
-9979,8192
-9979,8195
-9978,-6219
-9978,-5232
-9978,-4675
-9978,-3987
-9978,-3013
-9978,-2702
-9978,-2362
-9978,-2351
-9978,-369
-9978,4018
-9978,5657
-9978,7829
-9977,-8541
-9977,-4833
-9977,-4828
-9977,-2367
-9977,-2346
-9977,5658
-9976,-9629
-9976,-8570
-9976,-4836
-9976,-2731
-9976,-345
-9976,7333
-9976,9451
-9976,9452
-9975,-9662
-9975,-5763
-9975,-2702
-9975,-2566
-9975,4055
-9975,5632
-9974,-9661
-9974,-6137
-9974,-4640
-9974,-3941
-9974,-1404
-9974,2083
-9974,8345
-9973,-9630
-9973,-8538
-9973,-6213
-9973,-5232
-9973,-3012
-9973,-2543
-9973,7343
-9973,7350
-9972,-2337
-9972,-345
-9972,2119
-9972,4213
-9972,4259
-9972,8346
-9971,-8537
-9971,-4816
-9971,-2336
-9971,-1354
-9971,7822
-9971,8378
-9971,9439
-9970,-9223
-9970,-9220
-9970,-8576
-9970,-5797
-9970,-3011
-9970,-2725
-9970,4056
-9970,4259
-9970,8378
-9969,-8536
-9969,-5797
-9969,-2704
-9969,-2543
-9969,-800
-9969,-784
-9969,-378
-9969,180
-9969,2084
-9968,-9649
-9968,-5277
-9968,-1404
-9968,-794
-9968,-790
-9968,5625
-9968,8349
-9967,-9644
-9967,-9641
-9967,-8535
-9967,-6206
-9967,-3009
-9967,7861
-9967,9434
-9966,-9229
-9966,-6137
-9966,-5234
-9966,-2575
-9966,-1357
-9966,8351
-9966,9433
-9966,9462
-9965,-9210
-9965,-4671
-9964,-8534
-9964,-4843
-9964,-4809
-9964,-3006
-9964,-1359
-9964,5622
-9964,5664
-9964,9462
-9963,-3993
-9963,-2382
-9962,-4843
-9962,-2332
-9962,5621
-9961,-5270
-9961,-4670
-9961,-4060
-9961,-4057
-9961,-2332
-9961,8362
-9961,8368
-9961,9429
-9960,-5788
-9960,-5785
-9960,-4806
-9960,-2997
-9960,-2985
-9960,4056
-9960,4213
-9960,5620
-9959,-8533
-9959,-3993
-9959,2122
-9958,-9232
-9958,-9203
-9958,-4805
-9958,-4066
-9958,-1371
-9958,4009
-9958,5665
-9957,-5265
-9957,-4842
-9957,-4669
-9957,-1395
-9957,-1376
-9957,-353
-9957,150
-9957,5665
-9956,-8583
-9956,-4804
-9956,-4639
-9956,-4048
-9956,-2333
-9956,-1390
-9956,-1382
-9956,-354
-9956,177
-9956,7815
-9955,-4069
-9955,-2580
-9955,-2382
-9955,155
-9955,176
-9955,4009
-9955,4252
-9954,-5248
-9954,-3992
-9954,7815
-9954,7861
-9954,9458
-9953,-8533
-9953,-5255
-9953,-5253
-9953,-3948
-9953,161
-9953,173
-9953,4215
-9953,5618
-9952,-9232
-9952,-8583
-9952,-6191
-9952,-2580
-9952,-2552
-9952,-359
-9952,166
-9952,169
-9952,920
-9952,927
-9952,2093
-9951,-4668
-9951,916
-9951,4216
-9951,5664
-9950,-6145
-9950,-2554
-9950,937
-9950,4010
-9950,7816
-9949,-4802
-9949,2122
-9949,5618
-9949,9424
-9949,9454
-9948,-3953
-9948,4245
-9948,7817
-9948,9424
-9948,9453
-9947,-3989
-9947,4219
-9946,-9231
-9946,-4836
-9946,-4802
-9946,-375
-9946,-373
-9946,4050
-9946,5663
-9945,-8537
-9945,-6184
-9945,-6150
-9945,-4637
-9945,-2561
-9945,2100
-9945,4013
-9945,4221
-9944,-8579
-9944,-8538
-9944,-2563
-9944,955
-9944,1682
-9944,1684
-9944,7820
-9944,9448
-9943,-8578
-9943,-4833
-9943,-4075
-9943,-3985
-9943,-2571
-9943,-2567
-9943,-2341
-9943,910
-9943,2119
-9943,4047
-9943,7821
-9942,-4803
-9942,-4033
-9942,2118
-9942,4016
-9942,4234
-9941,-9230
-9941,-9195
-9941,-6179
-9941,-2343
-9941,910
-9940,-3978
-9940,-3969
-9940,2110
-9940,2114
-9940,5622
-9939,-6310
-9939,-6309
-9939,-4805
-9939,4021
-9939,5623
-9939,9433
-9939,9436
-9938,-8549
-9938,-6315
-9938,-4806
-9938,-4635
-9938,-4076
-9938,-2374
-9938,4026
-9938,4036
-9937,-9229
-9937,-8564
-9937,-8554
-9937,-6302
-9937,-6169
-9937,-6166
-9937,911
-9937,968
-9937,1668
-9937,5658
-9936,-9195
-9936,-2372
-9936,969
-9936,3290
-9936,3295
-9936,5657
-9935,-4817
-9935,-4812
-9935,-4026
-9935,912
-9935,1693
-9935,7838
-9934,-6322
-9934,-4667
-9934,-3036
-9934,-3031
-9933,-3027
-9933,-2356
-9933,913
-9933,1693
-9933,5653
-9932,-4076
-9932,-3025
-9932,-2363
-9932,-2361
-9932,1663
-9932,5636
-9932,5651
-9931,3279
-9931,5641
-9931,5647
-9930,-4022
-9930,-3022
-9929,-9383
-9929,-9381
-9929,-9197
-9929,-6327
-9929,-3047
-9929,916
-9929,5088
-9928,-9387
-9928,-5299
-9928,-5294
-9928,5103
-9927,-6295
-9927,-5304
-9927,-4075
-9927,3274
-9926,-5591
-9926,-5580
-9926,-3050
-9926,-3017
-9926,5083
