x,z
-9999,-8897
-9999,-8896
-9999,-2227
-9999,-2079
-9999,2600
-9998,-9563
-9998,-8897
-9998,-2080
-9998,2601
-9997,-9564
-9997,-8898
-9997,-2081
-9996,-9565
-9995,-9566
-9988,-4898
-9988,1919
-9987,-4899
-9987,1918
-9986,-4900
-9986,1917
-9985,1916
-9967,-2205
-9961,-4870
-9961,-2199
-9961,2474
-9960,-4871
-9960,2473
-9959,-4872
-9959,2472
-9958,-4873
-9958,2471
-9953,-8943
-9952,-8944
-9952,-8943
-9952,-445
-9951,-8945
-9951,-8944
-9951,-446
-9950,-8945
-9950,-447
-9949,-8946
-9949,-448
-9947,3735
-9946,3734
-9945,3733
-9944,-1109
-9943,-1110
-9942,-1111
-9941,-1112
-9938,9601
-9937,9600
-9936,9599
-9935,9598
-9931,8264
-9930,8263
-9929,8262
-9928,8261
-9926,-8147
-9925,-8148
-9924,-8149
-9923,-8150
-9923,-3679
-9923,7840
-9922,-3681
-9922,-3680
-9922,7839
-9921,-3682
-9921,-3681
-9921,7838
-9920,-3682
-9920,7837
-9919,-3683
-9912,7275
-9911,7274
-9910,7273
-9909,7272
-9908,-6641
-9907,-6642
-9906,-6643
-9905,-8750
-9905,-6644
-9904,-8751
-9904,6851
-9903,-8752
-9903,5557
-9903,6850
-9902,-8753
-9902,5555
-9902,5556
-9902,6849
-9901,-7978
-9901,5554
-9901,5555
-9901,6848
-9900,-7979
-9900,5554
-9899,-7980
-9899,5553
-9898,-7981
-9894,9695
-9893,-8642
-9893,4318
-9893,9694
-9892,-8644
-9892,-8643
-9892,4317
-9892,9693
-9892,9694
-9891,-8644
-9891,4316
-9891,9692
-9891,9693
-9890,-8645
-9890,4315
-9890,9691
-9890,9692
-9889,9690
-9878,-8722
-9877,-8723
-9876,-9250
-9876,-8724
-9875,-9251
-9875,-8725
-9875,-3727
-9874,-9252
-9874,-8726
-9874,-7950
-9874,-3729
-9874,-3728
-9873,-7951
-9873,-3730
-9873,-3729
-9872,-7952
-9872,-3730
-9871,-7953
-9871,-3731
-9870,-7954
-9870,166
-9869,165
-9868,164
-9867,163
-9866,162
-9865,-8615
-9864,-8616
-9863,-8617
-9860,-8657
-9859,-8658
-9858,-8659
-9858,-8658
-9857,-8660
-9854,-9707
-9853,-9708
-9852,-9709
-9851,-9710
-9848,1003
-9847,1002
-9846,1001
-9845,1000
-9842,-8704
-9840,-8972
-9839,-8974
-9839,-8973
-9838,-8975
-9838,-8974
-9837,-8975
-9836,-8976
-9836,-8698
-9830,-9183
-9829,-9182
-9828,-9181
-9828,-5215
-9827,-5217
-9827,-5216
-9826,-5218
-9826,-5217
-9825,-5219
-9825,-5218
-9824,-5219
-9823,-5220
-9816,-4906
-9815,-4905
-9812,-834
-9811,-835
-9810,-4900
-9810,-836
-9807,-8987
-9807,5461
-9806,-8988
-9806,5459
-9806,5460
-9805,-8989
-9805,5458
-9805,5459
-9804,-8990
-9804,-5434
-9804,-5433
-9804,5458
-9803,-8991
-9803,-8215
-9803,-5435
-9803,-5434
-9803,5457
-9802,-8216
-9802,-5436
-9802,-5435
-9802,-4920
-9801,-8217
-9801,-5436
-9801,-4919
-9800,-8218
-9800,-5437
-9799,-8219
-9799,-3748
-9798,-3749
-9797,-3750
-9796,-4914
-9796,-3751
-9795,-768
-9794,-769
-9793,-770
-9792,-771
-9787,-1192
-9786,-1193
-9786,6788
-9785,-1194
-9784,-1195
-9784,3276
-9783,3275
-9782,3274
-9781,3273
-9781,6793
-9780,3272
-9779,7696
-9778,-4877
-9778,7695
-9777,-4879
-9777,-4878
-9777,7694
-9776,-4880
-9776,-4879
-9776,5060
